how's your mother?	hur mår din mor?
some of the essays are very interesting.	en del av uppsatserna är mycket intressanta.
everything went black.	allting blev svart.
tom loaned me that dvd.	tom lånade mig den där dvd:n.
have you made up your mind yet?	har du bestämt dig ännu?
how do i help tom?	hur ska jag hjälpa tom?
mary is a fairy.	mary är en fe.
can you handle that?	kan du hantera det?
they buried her.	de begravde henne.
the leaf decomposed.	bladet förmultnade.
we're hungry.	vi är hungriga.
he is a man to be reckoned with.	han är en man att räkna med.
it's the voice of an old woman.	det är en gammal kvinnas röst.
still waters run deep.	stilla vatten rinner djupt.
tom's grandfather knew my grandfather.	toms farfar kände min farfar
he lived on an island.	han bodde på en ö.
she doesn't speak japanese at home.	hon pratar inte japanska hemma.
you'll no longer remember such minor details after a month or two.	efter en månad eller två kommer du inte att komma ihåg sådana små detaljer längre.
keep tom inside.	håll tom inomhus.
tomorrow morning you will already feel better.	imorgon kommer du redan känna dig bättre
everyone thirsts for love.	alla törstar efter kärlek.
she drank milk.	hon drack mjölk.
he's a dj.	han är dj.
you have no idea.	du skulle bara veta.
the pursuit of truth is admirable.	att sträva efter sanning är beundransvärt.
it's not a game.	det är inte en lek.
then what?	sen då?
i'm sure she won't come and meet you.	jag är säker på att hon inte kommer och träffar dig.
i fell in love with you.	jag förälskade mig i dig.
have you heard from her?	har du hört av henne?
did you know i was going to be fired?	visste du att jag skulle få sparken?
this is a small book.	det här är en liten bok.
i don't understand the problem.	jag förstår inte problemet.
bullying is a serious problem, but we have to understand that setting out to eliminate it entirely isn't a realistic proposition.	mobbning är så klart ett allvarligt problem, men samtidigt måste vi inse att en nollvision här är omöjlig.
come early tomorrow.	kom tidigt i morgon.
tom was promoted.	tom fick en befordran.
i don't care who you kiss.	jag bryr mig inte om vilka du kysser.
you and i have something in common.	du och jag har någonting gemensamt.
tom needs to buy time.	tom behöver vinna tid.
he bores everybody.	har tråkar ut allihopa.
how many people live here?	hur många bor här?
he's all right.	han mår bra.
i'm not coming along.	jag följer inte med.
how did tom know that?	hur visste tom det?
burj khalifa is currently the tallest skyscraper in the world.	burj khalifa är för närvarande den högsta skyskrapan i världen.
we're having breakfast.	vi äter frukost.
did you read that?	läste du den där?
can i have it?	får jag ta den?
the japanese weather is milder than the english weather.	det japanska vädret är mildare än det engelska.
i was fined 20 dollars for illegal parking.	jag fick en bot på tjugo dollar för olovlig parkering.
nobody picked on me.	ingen hackade på mig.
it's difficult to describe.	det är svårt att sätta ord på.
i don't speak luxembourgish.	jag talar inte luxemburgiska.
ziri died.	ziri dog.
welcome to wikipedia.	välkommen till wikipedia.
he married an actress.	han gifte sig med en skådespelerska.
your sorrow is my sorrow.	din sorg är min sorg.
do it again, tom.	gör det igen, tom.
he is coarse in manner.	han är grov till sättet.
are we going to die?	kommer vi att dö?
tom came here to help me.	tom kom hit för att hjälpa mig.
he denies nothing to his children.	han förnekar ingenting för sina barn.
enjoy yourself!	ha det så kul!
tom is extremely funny.	tom är extremt rolig.
ok, listen up.	okej, hör på.
he's intelligent.	han är intelligent.
it is pretty cold.	det är ganska kallt.
bob wasn't in on the plan.	bob var inte med på planen.
tom ran over someone's dog.	tom körde över någons hund.
how did your date go?	hur gick träffen?
throw it to tom.	kasta den till tom.
i didn't use to smoke.	jag brukade inte röka.
tom has an older sister, mary, and two younger sisters, but i don't remember their names.	tom har en äldre syster, mary, och två yngre systrar, men jag kommer inte ihåg deras namn.
being honest is difficult.	att vara ärlig är svårt.
the trail was barely visible.	stigen var knappt synlig.
yes, that's the right answer.	ja, det där är rätta svaret.
i'm from brazil.	jag kommer ifrån brasilien.
tom knows.	tom vet.
it is difficult for beginners to enjoy windsurfing.	det är svårt för en nybörjare att uppskatta vindsurfing.
what has tom done now?	vad har tom gjort nu?
they spent part of the afternoon strolling through the city.	de flanerade en hel eftermiddag på stan.
they named the dog shiro.	de gav hunden namnet shiro.
i think she's an honest woman.	jag tycker att hon är en ärlig kvinna.
i'm going to write a sentence in german.	jag kommer att skriva en mening på tyska.
is she coming, too?	kommer hon med?
the dictator had the absolute loyalty of all his assistants.	diktatorn hade den absoluta lojaliteten av alla hans medhjälpare.
he can talk to spirits.	han kan tala med andar.
mr smith made it a rule to take a walk every morning.	herr smith har gjort det till en regel att ta en promenad varje morgon.
tom believed everything that mary said.	tom trodde på allt som maria sa.
i'm really careful.	jag är verkligen noggrann.
it was extremely funny.	det var extremt roligt.
you will wash an apple.	du kommer att tvätta ett äpple.
i can live with it.	jag kan stå ut med det.
we want to know what this project is going to cost us.	vi vill veta hur mycket det här projektet kommer att kosta oss.
i fired the gun.	jag avfyrade pistolen.
i have gray hair.	jag har grått hår.
ziri felt stupid.	ziri kände sig dum.
dates are nature's candy.	dadlar är naturens godis.
this has never happened before.	detta har aldrig hänt förut.
did you hear the click?	hörde du klickljudet?
it's time to go.	det är dags att gå.
the judge sentenced him to one year in prison.	domaren dömde honom till ett års fängelse.
tom's crying.	tom gråter.
tom asked me what happened.	tom frågade mig vad som hände.
tom disagrees.	tom håller inte med.
you don't have a choice.	du har inget val.
let's play catch.	vi leker jaga!
where is the portuguese office?	var ligger det portugisiska kontoret?
babies have delicate skin.	spädbarn har känslig hud.
he managed to cross the river.	han lyckades korsa floden.
tom knows how to cook.	tom vet hur man lagar mat.
i've been to hong kong once.	jag har varit till hong kong en gång.
how can we stop them?	hur kan vi stoppa dem?
i met your dad yesterday.	jag träffade din pappa i går.
you've misspelled my name.	du har stavat fel på mitt namn.
he's an amateur actor.	han är amatörskådespelare.
i overslept today.	jag försov mig idag.
it sounds healthy.	det låter hälsosamt.
they abandoned the sinking ship.	de övergav det sjunkande skeppet.
be specific.	var tydlig.
i'm korean.	jag är korean.
tom's angry.	tom är arg.
he's kicking me!	han sparkar mig!
the grand piano has no pedal at all.	flygeln har ingen pedal alls.
tom is cleaning out his closet.	tom rensar sin garderob.
she helped the old man cross the road.	hon hjälpte den gamla mannen över vägen.
can you stop calling me that?	kan du sluta kalla mig det?
i know a priest.	jag känner en präst.
i studied abroad.	jag studerade utomlands.
i don't steal.	jag stjäl inte.
living here isn't cheap.	att bo här är inte billigt.
is there any water in the pot?	finns det något vatten i kannan?
we've been to boston many times.	vi har varit i boston många gånger.
do you like venison?	tycker du om hjortkött?
dan got a job as a security guard.	dan fick jobb som säkerhetsvakt.
this room is anything but warm.	det här rummet är allt annat än varmt.
i thought that i'd lost you.	jag trodde att jag förlorat dig.
you can call me by my first name.	du kan kalla mig vid mitt förnamn.
tom is in room three.	tom är i rum tre.
you are the next in line for promotion.	du står näst på tur för en befordran.
my efforts produced no results.	mina ansträngningar producerade inga resultat.
do you suspect me?	misstänker du mig?
my parents died when i was very young.	mina föräldrar dog när jag var mycket ung.
speak a little louder.	tala lite högre.
tom can't figure out how to get the box open.	tom kan inte komma på hur han ska få upp lådan.
you shouldn't have lied to him about the baby.	du borde inte ha ljugit för honom om babyn.
this sentence comprises of exactly eighty-seven characters, and so do its translations.	den här meningen består av exakt åttiosju tecken, och det gör även dess översättningar.
they are big.	de är stora.
i have a bad pain in my back.	jag har en svår smärta i ryggen.
if that happens again, call me.	om det där händer igen, ropa på mig.
tom is eating breakfast.	tom äter frukost.
do not sit on the radiator.	sitt inte på elementet.
the bridge was built by the romans.	bron var byggd av romarna.
do i smell cookies?	är det kakor jag känner doften av?
tom is norwegian.	tom är norrman.
he has a large house and two cars.	han har ett stort hus och två bilar.
this isn't about you.	detta handlar inte om dig.
if your stomach hurts, drink herbal tea.	om du har ont i magen, drick örtte.
this isn't a competition.	det här är ingen tävling.
it's impossible.	det är inte möjligt.
god is my witness.	gud är mitt vittne.
it's safe to eat the fish.	det är säkert att äta fiskarna.
would you mind waiting a few minutes?	går det bra att ni väntar några minuter?
he asked me who i was.	han frågade mig vem jag var.
it's half past eight.	klockan är halv nio.
that wouldn't make any difference.	det skulle inte spela någon roll.
i'll forgive, but i won't forget.	jag förlåter, men jag kommer aldrig att glömma.
